host_time_s,firmware_timestamp_ms,phase,pinvAlloc.errT,pinvAlloc.errR,pinvAlloc.errP,pinvAlloc.errY,pinvAlloc.objective
6.596928357001161,16089,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.617979091010056,16110,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.637899124994874,16130,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.657871099014301,16150,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.678016240999568,16170,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.698108668992063,16190,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.718016219994752,16210,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.736924554017605,16229,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.756942170002731,16249,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.776986590004526,16269,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.7970476880145725,16289,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.817215691000456,16309,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.836946224997519,16329,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.856850701995427,16349,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.877023163018748,16369,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.897018056013621,16389,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.917112426017411,16409,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.936866756994277,16429,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.956871625996428,16449,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.977967104001436,16470,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
6.997976268001366,16490,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.017953025992028,16510,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.03793744801078,16530,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.05797339201672,16550,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.078218472015578,16570,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.0979408050188795,16590,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.117941147997044,16610,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.137927172996569,16630,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.157931879017269,16650,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.1780218170024455,16670,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.198486686014803,16690,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.21794786900864,16710,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.237834066996584,16730,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.258033285004785,16750,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.278031763999024,16770,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.298746813001344,16790,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.318099569994956,16810,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.336883759009652,16829,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.35695791701437,16849,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.37697836701409,16869,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.397115872998256,16889,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.416917572991224,16909,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.436946914007422,16929,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.45689302199753,16949,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.476866800017888,16969,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.499452499003382,16991,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.517189987003803,17009,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.536905415006913,17029,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.556917305017123,17049,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.577943910000613,17070,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.598151179990964,17090,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.618054331018357,17110,pre_fault_hover,0.0,0.0,0.0,0.0,0.0
7.638138886017259,17130,fault_enable_transition,-34.640625,-32.640625,32.640625,-826.640625,31737.318359375
7.656908481993014,17149,fault_enable_transition,-36.640625,-34.640625,34.640625,-872.640625,35274.296875
7.679048256017268,17171,fault_enable_transition,-43.640625,-41.640625,41.640625,-1047.640625,50343.32421875
